"","x_location","y_location"
"ACOT7","-733.16859362124","-1268.19985784654"
"ACOT8","-646.44691393374","1090.63168512221"
"ACOT9","453.529679083838","945.692903383932"
"ACOX1","-535.576247429834","-20.7773572361848"
"ACOX2","37.8478172063969","302.221681460104"
"ACOX3","383.166764044776","199.735139712057"
"ACP2","-1934.73396227358","807.848298891745"
"ACP5","-1039.5504905939","-124.502546445169"
"ACP6","360.205063605323","-967.817899838724"
"ACPP","263.077469611182","116.812723025046"
"ACRBP","307.345352911963","-960.32333196763"
"ACRC","572.867111945166","682.312349184714"
"ACSL1","337.414566779151","782.044465883932"
"ACSL3","1184.24418714048","660.197969301901"
"ACSL4","247.253723883643","756.978181704245"
"ACSL5","272.342545294776","618.238435610495"
"ACSS1","-741.408889031396","-57.8439008152864"
"ACTA2","800.153366827979","151.330697878561"
"ACTB","-624.18421862124","-534.85360540513"
"ACTG1","-220.932692742334","-1119.31838811997"
"ACTL6A","-381.447280144677","-588.583707944193"
"ACTN1","761.013108038916","-358.706358090677"
"ACTN4","-1136.49592516421","-457.886442319193"
"ACTR10","1728.75969007017","-369.684904233255"
"ACTR1A","-498.730361199365","-387.316312924661"
"ACTR1B","792.744248175635","-905.974516049661"
"ACTR2","-367.959578728662","-802.038297787943"
"ACTR6","894.315537238135","330.590974672995"
"ACVR1","864.918930792823","454.791200503073"
"ACVR1B","353.019272589698","753.749482973776"
"ACVR1C","1451.14823987485","-733.575956479349"
"ACVR2B","1295.8469703436","-435.270231381693"
"ACVRL1","452.474015021338","713.618989809714"
"ACY1","-1096.20893785952","-1113.54104436997"
"ACYP2","-1407.5436546564","82.2369898402312"
"ADA","-1244.1813499689","-381.646635190286"
"ADAL","1328.44340589048","1415.96139703628"
"ADAM10","73.1611774206303","1250.02450738784"
"ADAM11","1042.58421399595","387.086610659323"
"ADAM12","-177.851744866357","-999.584379330911"
"ADAM15","-362.372939324365","-731.515897885599"
"ADAM17","979.328781867041","937.079866274557"
"ADAM19","-444.40980455874","-884.328642026224"
"ADAM20","-1636.16462633608","136.309984072409"
"ADAM23","1118.83769299985","-1027.12197698716"
"ADAM28","391.853501105323","873.949739321432"
"ADAM8","562.206040167823","-729.104826108255"
"ADAM9","-615.937087273584","-303.499204770364"
"ADAMDEC1","249.744095587745","815.813081606589"
"ADAMTS10","-364.36439440249","-1012.90725530747"
"ADAMTS5","-956.416213250146","-52.934499875345"
"ADAMTSL4","-867.032180047021","-748.214140073099"
"ADAP2","-829.550002312646","-66.5117627537629"
"ADAR","1217.39811780454","774.235078676901"
"ADAT3","-808.615248894677","-661.333768979349"
"ADCK1","-935.591140007959","-241.850980893411"
"ADCK2","912.74742200376","-348.618986264505"
"ADCK5","-779.630080437646","-654.928068295755"
"ADCY3","343.175888800635","1266.35434137221"
"ADCY6","-412.691146111474","-33.3492413914582"
"ADCY7","230.923401618018","-1165.32888616685"
"ADCY9","-299.899916863427","-1069.49209417466"
"ADD1","-161.686354851709","-890.24471868638"
"ADH5","-689.430129265771","49.7472418391326"
"ADHFE1","-983.973830437646","-213.836637631693"
"ADI1","-599.155837273584","-319.458341733255"
"ADK","-537.471572136865","-806.025114194193"
"ADM","276.479172492041","1055.43521295424"
